id,score_performance,nombre_mission,profil
FR001,40.3,29,Standard
FR002,65.6,46,Standard
FR003,63.2,32,Standard
FR004,71.0,32,Premium
FR005,73.0,42,Premium
FR006,77.4,52,Premium
FR007,89.2,38,Premium
FR008,66.1,43,Standard
FR009,26.6,1,Standard
FR010,61.8,49,Standard
FR011,74.0,46,Premium
FR012,100.0,80,Standard
FR013,38.6,11,Standard
FR014,64.2,51,Standard
FR015,78.2,74,Premium
FR016,87.0,53,Premium
FR017,73.4,45,Premium
FR018,79.0,60,Premium
FR019,67.9,28,Standard
FR020,64.5,27,Standard
FR021,54.1,46,Standard
FR022,83.0,57,Premium
FR023,44.7,22,Standard
FR024,48.3,34,Standard
FR025,61.9,30,Premium
FR026,74.0,51,Premium
FR027,100.0,56,Premium
FR028,71.9,12,Premium
FR029,67.0,44,Standard
FR030,72.7,46,Premium
FR031,69.4,54,Premium
FR032,100.0,82,Premium
FR033,82.4,68,Premium
FR034,37.3,36,Standard
FR035,69.1,42,Premium
FR036,99.2,70,Premium
FR037,67.5,40,Standard
FR038,49.4,47,Standard
FR039,52.7,47,Standard
FR040,77.1,61,Premium
FR041,74.1,61,Premium
FR042,83.5,53,Premium
FR043,61.8,52,Standard
FR044,95.5,34,Premium
FR045,86.0,18,Standard
FR046,100.0,65,Premium
FR047,58.7,38,Standard
FR048,46.4,38,Standard
FR049,86.6,27,Premium
FR050,57.8,51,Standard
FR051,74.8,39,Premium
FR052,91.7,70,Premium
FR053,86.2,63,Premium
FR054,61.3,54,Premium
FR055,60.3,44,Standard
FR056,31.3,38,Standard
FR057,91.1,45,Premium
FR058,28.2,24,Standard
FR059,76.0,64,Premium
FR060,60.7,39,Standard
FR061,75.7,74,Standard
FR062,93.7,65,Standard
FR063,93.0,47,Premium
FR064,75.8,57,Premium
FR065,39.4,1,Standard
FR066,73.5,47,Premium
FR067,76.0,47,Premium
FR068,45.0,38,Standard
FR069,76.8,57,Premium
FR070,63.6,40,Standard
FR071,82.6,55,Premium
FR072,90.6,53,Premium
FR073,66.7,58,Standard
FR074,97.2,71,Premium
FR075,37.6,1,Standard
FR076,44.7,15,Standard
FR077,76.8,54,Premium
FR078,82.4,58,Premium
FR079,88.3,80,Premium
FR080,40.2,34,Standard
